,object_number,acquisition.method,title,description,institution.name,creator,creator.role,production.place,production.period,production.date.start,production.date.end,material,material.part,technique,technique.part,dimension.notes,dimension.unit,dimension.part,dimension.precision,dimension.type,dimension.free,dimension.value,acquisition.date,acquisition.method
10720,N.02034,aanwinst,"Gedenkpenning stichting van de Gentse Universiteit naar het Grootzegel, 1819","Vz.Het gekroonde wapenschild van de Universiteit staat tussen twee gekruiste olijftakken en met eronder op een banderol, INTER UTRUMQUE en rondom bovenaan, SIGILL. MAI. ACAD. GANDAV. en onderaan , BRAEMT GAND.FECIT.1819. en rondom is een versierde rand.Kz.Onder een vijfpuntige ster, DECRETO / GULIELMI I. / AUG. BELG. REG. / ACAD. FUNDATORIS / ANN. M. D.CCC.XVI. / CONCESSUM en met onderaan een versiering van een zesbladig roosje tussen twee gestileerde figuren en met rondom een versierde rand.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1819,1819,tin,,,,,mm,,,diameter,,68.7,,aanwinst
10729,N.02018,aanwinst,"Gedenkpenning eerstesteenlegging van de Sint-Pietersabdijkerk, 1629","Vz.De buste van de apostel Petrus staat naar rechts met rondom, tussen een verhoogde cirkel en de buitenrand versierd met een draaiversiering, • ÆDIFICABO •ECCLESIAM • MEAM • + • SVPER • HANC • PETRAM Kz.Een vooraanzicht van de abdijkerk met eronder, • AN•MD•CXXIX en met rondom, tussen een verhoogde cirkel en de buitenrand versierd met een draaiversiering, • IOACHIM • ARSENIVS • ABB • S • PETRIIVXTA • GAND • IN • MONTE • BLAND",STAM (Gent),"Kavelinckx, JanJoris",ontwerper,Gent,17de eeuw,1629,1629,zilver,,,,,mm,,,diameter,,61.6,,aanwinst
10731,N.02048,aanwinst,"Gedenkpenning voor de eerstesteenlegging van het Instituut voor Wetenschappen van de Gentse Universiteit, 1883","Vz.Het gekroonde wapenschild van de Universiteit met er rond op een banderol, INTER UTRUMQUE ; rondom bovenaan, UNIVERSITÉ DE GAND en onderaan links langs de geprofileerde rand, LEMAIREKz.Binnen een open krans van gevlochten eiken- en lauriertakken, onderaan gestrikt, op een cirkel, INSTITUT / DES SCIENCES / ----- / 16 AVRIL / 1883 ; rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1883,1883,brons,,,,,mm,,,diameter,,40.6,,aanwinst
10740,N.02039,aanwinst,"Strooipenning opening kanaal Gent-Terneuzen, 1827","Vz.Vijf uitwaaierende korenaren tussen een schuin geplaatste Mercuriusstaf (links) en spade (rechts) ; in de afsnede, een ster ; bovenaan, langs de rand, LANDBOUW EN KOOPHANDEL ; rondom, een parelcirkel en een effen boord.Kz.KANAAL / VAN / NEUZEN OP GENT / GEOPEND / DEN XVIII NOV : / MDCCCXXVII / ?? ; deze tekst is omgeven door een krans van twee lauriertakken ; onderaan, waar de takken zich kruisen, en bovenaan, tussen de uiteinden van de krans, bevindt zich een rozet ; rondom, een parelcirkel en een effen boord.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1827,1827,zilver,,,,,mm,,,diameter,,21.8,,aanwinst
10752,02001.2-5,aanwinst,Balustrade van een woning aan het Edward Anseeleplein,"Onder een boog met laurierbladeren ment een gevleugelde figuur (lauwerkrans in de hand) twee rendieren die de wagen (naar rechts) over de wolken voeren. In de zwikken staan twee leeuwen met een slang.
Deze balustrades zijn afkomstig van een gesloopte burgerwoning gelegen aan de Garenmarkt ( nu Anseeleplein) te Gent. Het ontwerp wordt toegeschreven aan de Gentse edelsmid P.J.J. Tiberghien.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,19de eeuw,1800,1810,smeedijzer,geheel,gedreven,,,cm,geheel,,hoogte,,82,,aanwinst
10755,04091,aankoop (?),Heilige Brierius (muurschildering Sint-Baafsabdij),Kopie van een muurschildering in de refter van de Sint-Baafsabdij te Gent. Het origineel zou uit de 2de helft van de 12de eeuw dateren.,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1889,1889,papier (vezelproduct),,,,,cm,,,hoogte,,356,1917,aankoop (?)
10824,N.02016,aanwinst,"Portretpenning A. Triest, 7de bisschop van Gent, 1622","Vz.Buste naar links van Triest met bisschopshoedje en met rondom, ILLS•ET•RMVS•DNVS •ANTS•TRIEST•EPVS•GANDENSIS en rondom langs de rand een parelcirkel.Kz.Christus staat rechtop in vooraanzicht met een aureool en hij houdt een groot kruis rechtopstaand in zijn linkerarm en op de grond links staat een kelk waarin zijn bloed druppelt ; rondom, IN • FORAMINIBVS•PETRÆ CONFIDENTIA •MEA • ; onderaan op de afsnede is enkel een W te zijn (deel van de signatuur AWA • F • ) en met rondom langs de rand een parelcirkel.",STAM (Gent),"Waterloos, Adrien",ontwerper,Gent,17de eeuw,1622,1622,zilver,,,,,mm,,,diameter,,48,,aanwinst
10854,04066,aankoop (?),"H. Johannes en Paulus, patroonheiligen van de kapel",,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1861,1861,calqueerpapier,,,,,cm,,,hoogte,,397,1889,aankoop (?)
11391,A2010.01,schenking,"Erepenning door de Stad Gent uitgereikt aan Robert Verbanck, 1977","Op de penning staat De Gentse Maagd, in een lang dun kleed en met een doek over de armen gedrapeerd, staat in vooraanzicht ; ze houdt drie lauwerkransen en een eikentak in de rechterhand ; vlak achter haar ligt een slapende leeuw naar rechts ; rechts, op het achterplan, onder het opschrift GENT, de torens van het Belfort en van de St-Baafskathedraal ; in de afsnede, Carl de Cock
Op de keerzijde is het veld is op halve hoogte horizontaal in tweeën verdeeld ; in de bovenste helft staat de Gentse draak naar links, met wolken op de achtergrond ; de onderste helft is verheven en wordt langs de boord omgeven door een banderol met krullende uiteinden en met het opschrift, ? ? STAD GENT ? ? ? HOU ENDE TROU ; rechts, op halve hoogte, is op de banderol een lansschild met het wapen van Gent geplaatst ; in het centrum, vlak onder de horizontale scheidingslijn, het woord AAN ; daaronder is in het veld ingegraveerd, VERBANCK ROBERT / 8.X.1977",STAM (Gent),"De Cock, Carl",ontwerper,Gent,20ste eeuw,1977,1977,brons,geheel,geslagen,,penning,mm,geheel,,diameter,,70.2,2010,schenking
11406,A63.06.02.1-2,gift,Livreijas,,STAM (Gent),"Van Meerhaeghe & Zoon, H.",ontwerper,Gent,20ste eeuw,1900,1950,stof (textiel),,,,,cm,,,hoogte,,104.9,1963,gift
11417,A2005.02.037,Overdracht bij verhuis naar Zwarte Doos,"Voorzijdematrijs voor de erepenning aan Emile Braun, 1914","In spiegelbeeld en verdiept de voorstelling van de buste van Braun naar links met erboven, EMILE BRAUN en in de linkerbovenhoek, BOURGMESTRE / DE LA VILLE DE GAND / HOMMAGE DE SES / CO-CITOYENS / RECONNAISSANTS / 11 JANV : I914 daaronder drie klimopbladeren en rechts naast het hoofd, CARL DE COCK

Emile Braun (Nijvel 1849 – Vichy 1927) behaalde in 1872 zijn diploma van ingenieur aan de Gentse Universiteit en trad in dienst bij de Belgische spoorwegen. In 1879 werd hij hoofdingenieur der Stad Gent en nam in die hoedanigheid het initiatief tot talrijke infrastructuurwerken ter verfraaiing van de Stad. Ook na zijn benoeming tot burgemeester in 1895 blijven de stedenbouwkundige aspecten hem nauw aan het hart liggen en hij realiseerde de ingrepen in de stad ter aanloop van de Wereldtentoonstelling van 1913. Als dank hiervoor werd hij op 11 januari 1914 in het Gentse stadhuis gehuldigd. Een borstbeeld, ontworpen door Georges Minne, werd onthuld samen met een bas-reliëf rechtover het Belfort. Een gelijkaardige plaket, ontworpen door Carl De Cock, vereeuwigde de viering in metaal.
Deze plaket werd geslagen in opdracht van de Stad Gent waardoor zowel de patrijzen als de matrijzen van voor- en keerzijde aanwezig zijn alsook de resterende stock van de penningen (36 exemplaren)",STAM (Gent),"De Cock, Carl",ontwerper,Gent,20ste eeuw,1914,1914,staal,,,,blok,mm,,,diameter,,100.2,,Overdracht bij verhuis naar Zwarte Doos
11427,A2005.02.036,Overdracht bij verhuis naar Zwarte Doos,"Keerzijdepatrijs voor de erepenning aan Emile Braun, 1914","Links het Gentse wapenschild met op een banderol, HOU ENDE TROU en op de achtergrond het gravensteen en rechts bloemen ; onderaan op de afsnede, AAN EMIEL BRAUN : / BURGEMEESTER DER STAD GENT / ----------- / UIT DANKBARE HULDE_________ / ZIJNE ERKENTELIJKE STADGENOOTEN

Emile Braun (Nijvel 1849 – Vichy 1927) behaalde in 1872 zijn diploma van ingenieur aan de Gentse Universiteit en trad in dienst bij de Belgische spoorwegen. In 1879 werd hij hoofdingenieur der Stad Gent en nam in die hoedanigheid het initiatief tot talrijke infrastructuurwerken ter verfraaiing van de Stad. Ook na zijn benoeming tot burgemeester in 1895 blijven de stedenbouwkundige aspecten hem nauw aan het hart liggen en hij realiseerde de ingrepen in de stad ter aanloop van de Wereldtentoonstelling van 1913. Als dank hiervoor werd hij op 11 januari 1914 in het Gentse stadhuis gehuldigd. Een borstbeeld, ontworpen door Georges Minne, werd onthuld samen met een bas-reliëf rechtover het Belfort. Een gelijkaardige plaket, ontworpen door Carl De Cock, vereeuwigde de viering in metaal.
Deze plaket werd geslagen in opdracht van de Stad Gent waardoor zowel de patrijzen als de matrijzen van voor- en keerzijde aanwezig zijn alsook de resterende stock van de penningen (36 exemplaren)",STAM (Gent),"De Cock, Carl",ontwerper,Gent,20ste eeuw,1914,1914,staal,,,,slagoppervlak,mm,,,hoogte,,48.3,,Overdracht bij verhuis naar Zwarte Doos
11489,A2005.03.02,overdracht,Keerzijdematrijs Medaille Van Verdienste van de Stad Gent,"In spiegelbeeld en verdiept staat in de bovenste helft de Gentse draak met wolken op de achtergrond en de onderste helft wordt langs de boord omgeven door een banderol met krullende uiteinden en met het opschrift, STAD GENT   HOU ENDE TROU  rechts, op halve hoogte, is op de banderol een lansschild met het wapen van Gent geplaatst en in het centrum, vlak onder de horizontale scheidingslijn, staat het woord AAN",STAM (Gent),"De Cock, Carl",ontwerper,Gent,20ste eeuw,1945,1999,staal,,,,slagoppervlak,mm,slagoppervlak,,diameter,,70.4,2005,overdracht
11578,A2005.02.038,Overdracht bij verhuis naar Zwarte Doos,"Keerzijdematrijs voor de erepenning aan Emile Braun, 1914","Links het Gentse wapenschild met op een banderol, HOU ENDE TROU en op de achtergrond het gravensteen en rechts bloemen ; onderaan op de afsnede, AAN EMIEL BRAUN : / BURGEMEESTER DER STAD GENT / ----------- / UIT DANKBARE HULDE_________ / ZIJNE ERKENTELIJKE STADGENOOTEN

Emile Braun (Nijvel 1849 – Vichy 1927) behaalde in 1872 zijn diploma van ingenieur aan de Gentse Universiteit en trad in dienst bij de Belgische spoorwegen. In 1879 werd hij hoofdingenieur der Stad Gent en nam in die hoedanigheid het initiatief tot talrijke infrastructuurwerken ter verfraaiing van de Stad. Ook na zijn benoeming tot burgemeester in 1895 blijven de stedenbouwkundige aspecten hem nauw aan het hart liggen en hij realiseerde de ingrepen in de stad ter aanloop van de Wereldtentoonstelling van 1913. Als dank hiervoor werd hij op 11 januari 1914 in het Gentse stadhuis gehuldigd. Een borstbeeld, ontworpen door Georges Minne, werd onthuld samen met een bas-reliëf rechtover het Belfort. Een gelijkaardige plaket, ontworpen door Carl De Cock, vereeuwigde de viering in metaal.
Deze plaket werd geslagen in opdracht van de Stad Gent waardoor zowel de patrijzen als de matrijzen van voor- en keerzijde aanwezig zijn alsook de resterende stock van de penningen (36 exemplaren)",STAM (Gent),"De Cock, Carl",ontwerper,Gent,20ste eeuw,1914,1914,staal,,,,slagoppervlak,mm,,,hoogte,,48,,Overdracht bij verhuis naar Zwarte Doos
11649,00882.1-4,aankoop,Kopje van een bok,"Het kopje van de bok diende waarschijnlijk als model voor gelijkaardige motieven die in edelmetaal werden uitgevoerd. Het geciserleerde kopje was een ontwerp van de bekende Gentse zilversmid P. J.J. Tiberghien. In zijn album met tekeningen en gravures bewaard in de Gentse universiteitsbibliotheek zijn twee tekeningen nr. 537 en 538 van het kopje aanwezig.
Het behoorde tot de verzameling van Charles Onghena die in Gent werd geveild in oktober 1885. Toen werd het voor de museumverzameling aangekocht. Het kopje werd gestolen in 1968.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,18de eeuw (vierde kwart),1790,1810,lood,,Gegoten,,,cm,,,hoogte,,21,1885-10-20,aankoop
11714,N.00010.1-4,aanwinst,"Herdenkingsfeesten Lieven Bauwens, 1922","De penning draagt aan de voorzijde de voorstelling van de Gentse maagd (type Lemaire); ze zit lichtjes schuin met rechts van haar de leeuw met zijn voorpoten op haar rechterbeen; in haar rechterhand een vlag met het opschrift S.P.Q.G. ; haar linkerarm rust op een groot schild met een leeuw; ze heeft lange haren en draagt een kroon; haar gewaad met korte gepofte mouwen hangt tot over haar voeten; naast het schild op de grond staan een wereldbol, boeken en een lauwerkrans; op de achtergrond staat een afsluiting en in de verte ziet men de Gentse torens en schouwen.
Aan de keerzijde staat: STAD GENT / -- . -- / HERDENKINGSFEESTEN / LIEVEN BAUWENS / FÊTES COMMÉMORATIVES / ---- / 23 – 7 – I922 /  -- . -- / VILLE DE GAND ; de eerste en de laatste regel volgen de boord.
Van deze ronde bronzen penning met draagoog in de vorm van een driehoek met een ringetje, 27,5 mm Ø zijn 4 exemplaren aanwezig in de collelctie

De honderdste verjaardag van het overlijden van Lieven Bauwens werd herdacht op zondag 23 juli 1922, de sluitingsdag van de gemeentefeesten. Een bijzondere commissie, bestaande uit afgevaardigden van de Handelskamer, de Dekenbond en de patronale en werkerssyndikaten van de weefnijverheid, was met de organisatie van de plechtigheid belast.
In de nabijheid van het standbeeld van Bauwens waren twee tribunes geplaatst: de ene voor de klein-neven en achterklein-neven van de gevierde en de andere voor de prominenten, waaronder gouverneur de Kerckhove de Denterghem, burgemeester A. Van der Stegen, bisschop Seghers en vertegenwoordigers van de Kamer en het leger. Om 9u30. namen de gasten plaats op de tribunes en belichtte Emiel Mees, gewezen voorzitter van de Kamer van Koophandel en vervanger van de Smet de Naeyer, de betekenis van Bauwens voor de Gentse katoennijverheid. Nadien schetste burgemeester Van der Stegen diens verdiensten voor de stad, onder meer. als burgervader. De plechtigheid werd opgeluisterd door Thebaanse trompetten die vanop het Gerard Duivelsteen gekende Vlaamse liederen ten gehore brachten.
Ondertussen trok een indrukwekkende stoet van op de Vrijdagmarkt door gans de stad en kwam rond halftwaalf, bij het beëindigen van de toespraken, op het Bauwensplein toe.
De aanwezige familieleden en prominenten ontvingen een herinneringsmedaille, die tijdens de plechtigheid werd overhandigd. Het was slechts een klein hangertje met een reeds lang bestaande standaardvoorzijde. Vermits de keerzijde alleen uit tekst bestaat moest dus geen kunstenaar ingeschakeld worden.
",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,20ste eeuw,1922,1922,brons,geheel,geslagen,,,mm,penning,,diameter,,27.5,,aanwinst
11716,A67.02.24,gift,"Gedenkpenning bezoek van Willem I aan het kunstkabinet van d’Huyvetter, 1829","In het midden een verzameling oudheidkundige objecten met rondom, SVPELLECTILIS BELG. FICTIL ET VITR. PALEOTHECA ; onderaan op de afsnede, GANDAVI. MDCCXXIX. met eronder de verhoogde boord volgend, BRAEMT F.
Op de keerzijde de tekst, OB FAVORUM / QVOD GVILIELM.I.B.R. / PALÆOTHECAM / VISIT ADPROBAVITQ. / JOAN. D’HVIJVETTER. / ACAD GRAPH DIRECTOR / GRAT. CONSECR. en rondom een verhoogde boord.

In de lente van 1829 maakte koning Willem I een lange reis door de Zuidelijke Nederlanden. Op 27 mei vertrok hij vanuit Brussel via Mechelen en Lier naar Antwerpen (27 en 28 mei). Daarna ging hij via Terneuzen en Sas van Gent naar Gent (30 en 31 mei) om dan zijn reis verder te zetten langs Drongen, Deinze en Tielt richting Brugge (1 en 2 juni). Vandaar trok hij verder naar Oostende en via Torhout en Menen naar Kortrijk (4 juni). In de volgende weken bezocht hij nog Doornik (12 juni), Mons (13 en 14 juni), Charleroi (15 juni), Namen (16 juni), Luik en omgeving (22 tot 24 juni) en Maastricht (26 juni) om via Tongeren en Hasselt terug naar Den Bosch te reizen (27 en 28 juni).
Het ging niet om een plezierreisje. De koning maakte zich bezorgd om de aanhoudende stroom van problemen die de uiteindelijke samensmelting van de beide landsdelen in de weg stond.
Ondanks al de kritiek op het beleid van Willem I en vooral op dat van zijn ministers was het onthaal in het Zuiden, behalve misschien in Mons en Maastricht, bijzonder hartelijk.
Naar aanleiding van zijn oponthoud te Gent op 30 en 31 mei werden door Braemt twee penningen geslagen. Een eerste penning werd door de Nijverheidsmaatschappij aan de koning opgedragen (N.119). Daarnaast liet de directeur van de Gentse tekenacademie een penninkje maken ter herinnering aan het bezoek van de koning op zondag 31 mei aan zijn verzameling oudheden. Het werd geslagen in goud, zilver, brons en tin maar de stukken waren pas klaar na de onlusten van eind augustus 1830 te Brussel.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1829,1829,zilver,,geslagen,,,mm,,,diameter,,27.6,1965,gift
11775,N.01982,aanwinst,"Gedenkpenning turnfeest ingericht door de Belgische Turnbond opgedragen aan de Société Gantoise de Gymnastique, 1899","Vz.Links staat een atleet wijdbeens naar rechts gewend ; hij heeft een schijf in zijn rechterhand en een stok met vlag in zijn gestrekte linkerhand ; hij kijkt op naar een vrouw die rechts staat en een lauwerkrans boven zijn hoofd houdt en met een palmtak in haar linkerhand ; op de grond liggen allerlei turntoestellen ; rondom een verhoogde rand met een parelcirkel. Kz.Een leeuw ligt naar links op een plaat met het opschrift, L’ UNION FAIT LA FORCE ; onder de plaat een gekruiste fakkel en stok, samen gestrikt en onderaan versierd met bladeren ; boven de leeuw rondom, FEDERATION BELGE DE GYMNASTIQUE ; onder de bladeren, rondom, BELGISCHE TURNBOND en links ervan, PAUL FISCH AINÉ ; tussen een versierde cirkel en de geprofileerde rand, bovenaan in twee rijen, XXVE BELGISCH TURNBONDSFEEST / XXVE FÊTE FÉDÉRALE DE GYMNASTIQUE ; rondom onderaan, ? GENT / GAND / I 5 • I 6 • I 7 • I 8 • 23 JULI / JUILLET I 899",STAM (Gent),"Baetes, Jules",ontwerper,Gent,19de eeuw,1899,1899,brons,,verzilverd,,,mm,,,diameter,,50.1,,aanwinst
11787,02408.1-3,onbekend,Leuning,"Vensterleuning met bloemenmotief en fruitslingers (peren,druiven,maïskolven...) opgehangen aan 2 halve ringen.
Afkomstig van het empirehuis op de hoek van de Ravesteinstraat en het Sint-Michielsplein.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,18de eeuw (vierde kwart),1790,1799,smeedijzer,geheel,gesmeed,,,cm,geheel,,hoogte,,37.5,1906,onbekend
11805,02408.2-3,onbekend,Leuning,"Vensterleuning met bloemenmotief en fruitslingers (peren,druiven,maïskolven...) opgehangen aan 2 halve ringen.
Afkomstig van het empirehuis op de hoek van de Ravesteinstraat en het Sint-Michielsplein.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,18de eeuw (vierde kwart),1790,1799,smeedijzer,geheel,gesmeed,,,cm,geheel,,hoogte,,37.5,1906,onbekend
11807,02001.1-5,aanwinst,Balustrade van een woning aan het Edward Anseeleplein,"Het centrale motief van de  figuur gezeten in wagen met hoorn des overvloeds in de hand, getrokken door 2 gevleugelde figuurtjes.
Deze balustrades zijn afkomstig van een gesloopte burgerwoning gelegen aan de Garenmarkt (nu Edward Anseeleplein) te Gent. Het ontwerp wordt toegeschreven aan de Gentse edelsmid P.J.J. Tiberghien.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,19de eeuw (eerste kwart),1800,1810,smeedijzer,geheel,gedreven,,,cm,geheel,,hoogte,,84,,aanwinst
11848,00882.3-4,aankoop,Bloemenslinger,"Loden festoen waarvan het ontwerp wordt toegeschreven aan P.J.J. Tiberghien en dat vermoedlijk diende als model voor het uitwerken van gelijkaardige motieven in edel metaal.
Zo zien we op een komfoor toegeschreven aan Tiberghien, dat op de tentoonstelling L'art ancien dans les Flandres, Gand 1913 aanwezig was en afgebeeld is in de catalogus van de tentoonstelling onder nr.203, een dergelijke festoen.
Identiek aan festoen 2/4",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,18de eeuw (vierde kwart),1790,1810,lood,,Gegoten,,,cm,,,hoogte,,16,1885-10-20,aankoop
11913,A67.02.25,gift,"Gedenkpenning bezoek van Willem I aan het kunstkabinet van d’Huyvetter, 1829","In het midden een verzameling oudheidkundige objecten met rondom, SVPELLECTILIS BELG. FICTIL ET VITR. PALEOTHECA ; onderaan op de afsnede, GANDAVI. MDCCXXIX. met eronder de verhoogde boord volgend, BRAEMT F.
Op de keerzijde de tekst, OB FAVORUM / QVOD GVILIELM.I.B.R. / PALÆOTHECAM / VISIT ADPROBAVITQ. / JOAN. D’HVIJVETTER. / ACAD GRAPH DIRECTOR / GRAT. CONSECR. en rondom een verhoogde boord.

In de lente van 1829 maakte koning Willem I een lange reis door de Zuidelijke Nederlanden. Op 27 mei vertrok hij vanuit Brussel via Mechelen en Lier naar Antwerpen (27 en 28 mei). Daarna ging hij via Terneuzen en Sas van Gent naar Gent (30 en 31 mei) om dan zijn reis verder te zetten langs Drongen, Deinze en Tielt richting Brugge (1 en 2 juni). Vandaar trok hij verder naar Oostende en via Torhout en Menen naar Kortrijk (4 juni). In de volgende weken bezocht hij nog Doornik (12 juni), Mons (13 en 14 juni), Charleroi (15 juni), Namen (16 juni), Luik en omgeving (22 tot 24 juni) en Maastricht (26 juni) om via Tongeren en Hasselt terug naar Den Bosch te reizen (27 en 28 juni).
Het ging niet om een plezierreisje. De koning maakte zich bezorgd om de aanhoudende stroom van problemen die de uiteindelijke samensmelting van de beide landsdelen in de weg stond.
Ondanks al de kritiek op het beleid van Willem I en vooral op dat van zijn ministers was het onthaal in het Zuiden, behalve misschien in Mons en Maastricht, bijzonder hartelijk.
Naar aanleiding van zijn oponthoud te Gent op 30 en 31 mei werden door Braemt twee penningen geslagen. Een eerste penning werd door de Nijverheidsmaatschappij aan de koning opgedragen (N.119). Daarnaast liet de directeur van de Gentse tekenacademie een penninkje maken ter herinnering aan het bezoek van de koning op zondag 31 mei aan zijn verzameling oudheden. Het werd geslagen in goud, zilver, brons en tin maar de stukken waren pas klaar na de onlusten van eind augustus 1830 te Brussel.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1829,1829,koper,,geslagen,,,mm,,,diameter,,27.6,1965,gift
11925,02408.3-3,onbekend,Leuning,"Vensterleuning met bloemenmotief en fruitslingers (peren,druiven,maïskolven...) opgehangen aan 2 halve ringen.
Afkomstig van het empirehuis op de hoek van de Ravesteinstraat en het Sint-Michielsplein.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,18de eeuw (vierde kwart),1790,1799,smeedijzer,geheel,gesmeed,,,cm,geheel,,hoogte,,37,1906,onbekend
11932,02407,onbekend,Leuning,"Centraal motief: hoorn des overvloeds een anker en een gevleugelde Mercuriusstaf, versierd met acanthusbladeren.
De leuningen in empire stijl, gedateerd 1805-1810 (zie ook 2405) komen van een empirehuis op de hoek van de Ravensteinstraat en het Sint-Michielsplein.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,19de eeuw (eerste kwart),1805,1810,smeedijzer,geheel,gesmeed,,,cm,geheel,,hoogte,,47.5,1906,onbekend
11951,A2005.02.033,Overdracht bij verhuis naar Zwarte Doos,"Voorzijdematrijs gedenkpenning eerste steenlegging van de aula der Gentse Universiteit, 1819","In spiegelbeeld staat een gekroond Frans schild met het wapen van Gent met in de afsnede, onder een horizontale lijn, AERE MUNICIPALI. / M.D.CCC.XIX. en rondom, AULAE ACADEMICAE CONSTRUCTIONE DECRETA. en een geprofileerde boord ; onderaan links, aan het begin van het omschrift, Sint-Michiel die de draak verslaat en onderaan rechts, vlak na het omschrift en in tegen wijzerzin langs de boord, BRAEMT. F.

Op 25 september 1816 besloot koning Willem I om nieuwe universiteiten op te richten te Gent, Leuven en Luik.
Op 4 augustus 1819 werd de eerste steen van de universiteitsaula in de Volderstraat gelegd door Minister van Onderwijs Anton Reinhart Falck. De gemeenteraad had in haar zitting van 25 mei 1819 besloten om voor deze gelegenheid 17 herdenkingsmedailles te laten slaan in goud (bestemd voor de koninklijke familie, ministers, gouverneurs en burgemeesters), 90 in zilver (voor de leden van diverse raden) en 100 in koper. Het Gentse wapenschild werd afgebeeld vergezeld van een gelegenheidstekst op voor- en keerzijde.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1819,1819,staal,,,,slagoppervlak,mm,,,diameter,,32.6,,Overdracht bij verhuis naar Zwarte Doos
11956,A2005.02.034,Overdracht bij verhuis naar Zwarte Doos,"Keerzijdematrijs gedenkpenning eerste steenlegging van de aula der Gentse Universiteit, 1819","In spiegelbeeld de tekst POSITO / PRINCIPE. LAPIDE / S.P.Q. GAND / FEST. ET. SOL. DIEM / S. ; rondom, een compacte en ronde gesloten krans van olijftakken die onderaan door middel van een lint zijn samengestrikt en een geprofileerde boord

Op 25 september 1816 besloot koning Willem I om nieuwe universiteiten op te richten te Gent, Leuven en Luik.
Op 4 augustus 1819 werd de eerste steen van de universiteitsaula in de Volderstraat gelegd door Minister van Onderwijs Anton Reinhart Falck. De gemeenteraad had in haar zitting van 25 mei 1819 besloten om voor deze gelegenheid 17 herdenkingsmedailles te laten slaan in goud (bestemd voor de koninklijke familie, ministers, gouverneurs en burgemeesters), 90 in zilver (voor de leden van diverse raden) en 100 in koper. Het Gentse wapenschild werd afgebeeld vergezeld van een gelegenheidstekst op voor- en keerzijde.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1819,1819,staal,,,,slagoppervlak,mm,,,diameter,,32.7,,Overdracht bij verhuis naar Zwarte Doos
11957,A2005.02.035,Overdracht bij verhuis naar Zwarte Doos,"Voorzijdepatrijs voor de erepenning aan Emile Braun, 1914","Voorstelling van de buste van Braun naar links met erboven, EMILE BRAUN en in de linkerbovenhoek, BOURGMESTRE / DE LA VILLE DE GAND / HOMMAGE DE SES / CO-CITOYENS / RECONNAISSANTS / 11 JANV : I914 daaronder drie klimopbladeren en rechts naast het hoofd, CARL DE COCK

Emile Braun (Nijvel 1849 – Vichy 1927) behaalde in 1872 zijn diploma van ingenieur aan de Gentse Universiteit en trad in dienst bij de Belgische spoorwegen. In 1879 werd hij hoofdingenieur der Stad Gent en nam in die hoedanigheid het initiatief tot talrijke infrastructuurwerken ter verfraaiing van de Stad. Ook na zijn benoeming tot burgemeester in 1895 blijven de stedenbouwkundige aspecten hem nauw aan het hart liggen en hij realiseerde de ingrepen in de stad ter aanloop van de Wereldtentoonstelling van 1913. Als dank hiervoor werd hij op 11 januari 1914 in het Gentse stadhuis gehuldigd. Een borstbeeld, ontworpen door Georges Minne, werd onthuld samen met een bas-reliëf rechtover het Belfort. Een gelijkaardige plaket, ontworpen door Carl De Cock, vereeuwigde de viering in metaal.
Deze plaket werd geslagen in opdracht van de Stad Gent waardoor zowel de patrijzen als de matrijzen van voor- en keerzijde aanwezig zijn alsook de resterende stock van de penningen (36 exemplaren)",STAM (Gent),"De Cock, Carl",ontwerper,Gent,20ste eeuw,1914,1914,staal,,,,slagoppervlak,mm,,,hoogte,,48.3,,Overdracht bij verhuis naar Zwarte Doos
12066,A2014.16,aankoop,Gand Façade de la station du chemin de fer vers la ville,Handgekleurde litho met gevel van het Zuidstation in Gent.,STAM (Gent),"Payen, Antoine",ontwerper,Gent,19de eeuw,1840,1840,papier (vezelproduct),geheel,gedrukt,geheel,,cm,blad,,hoogte,,35,2014-10-04,aankoop
